id,section,type,required,title,options,maps_to,skip
C1,0. Consent,mcq,TRUE,I understand this is anonymous and I can close the tab anytime.,"Yes, continue",Consent,
S1,1. Screener,mcq,TRUE,Do you currently use the Myntra app or website?,Yes | No,Screener — Myntra user,If No → Thanks
S2,1. Screener,mcq,TRUE,How do you describe yourself?,Woman | Man | Non-binary | Prefer not to say,Segment — gender,
S3,1. Screener,mcq,TRUE,Your age,Under 24 | 24–32 | 33–40 | 41+,Segment — age,
S4,1. Screener,dropdown,TRUE,Where do you live?,Bengaluru | Hyderabad | Delhi | Gurugram | Noida | Coimbatore | Mumbai | Pune | Non-metro India,Segment — city,
S5,1. Screener,mcq,TRUE,About how many items are in your Myntra wishlist right now?,0 | 1–14 | 15–40 | 41–80 | 81+,Wishlist depth,If 0 → Thanks
S6,1. Screener,mcq,TRUE,"In the last 60 days, did you save something on Myntra and not buy it?",Yes | No,Recent stall,
S7,1. Screener,mcq,TRUE,How often do you open Myntra?,Most days | About weekly | A few times a month | Rarely,Usage,
Q1,2. The last unsold save,mcq,TRUE,Think of the last item you hearted and still have not bought. Why did you save it that day?,I meant to buy it soon | To compare with other pieces I saved | For an occasion / event coming up | Waiting for a sale or price drop | I just liked it — not sure I’ll buy | Other,Part 3 — why they saved,
Q2,2. The last unsold save,mcq,TRUE,Do you still intend to buy that item in the next 30 days?,Yes | Maybe | No,Part 3 — still intend,
Q3,2. The last unsold save,mcq,TRUE,What is the MAIN thing stopping you from buying it?,I don’t know if it will fit me / this brand’s cut | I’m worried about returns exchange-only or a seal tag | I don’t trust the size chart | I can’t choose between a few similar things I saved | I’m not sure the fabric / quality matches the photo | I’m not sure when or where I’d wear it | I’m waiting for a sale or discount | My wishlist is a mess — I forget it | I was never really going to buy it,WhyWait primary barrier,
Q4,2. The last unsold save,multi,TRUE,After you already liked the photo what were you still unsure about?,Fit on my body / height | Which size to pick | Whether I can return or exchange it | Whether the next size exists | Occasion / office-appropriateness | Quality vs photo | Price | Nothing — I was just bookmarking,Uncertainties after identification,
Q5,2. The last unsold save,multi,TRUE,What would make you buy it this week?,A kept-vs-returned story from people my size and height on the wishlist card | Return / seal-tag / exchange-only written as a sentence on the card | A suggested size that stays with the saved item | A side-by-side of the other pieces I saved on fit — not on discount % | A coupon or sale | A friend telling me to buy it | Nothing — I don’t intend to buy it,What would make them purchase,
Q6,2. The last unsold save,multi,TRUE,What information do you still need that the wishlist does not give you today?,How this sat on someone near my height | Whether people who wear my usual size kept it | Return policy in words not an icon | Ethnic size vs my top size labelled separately | Length / crop / rise for my height | Whether Try and Buy exists on this SKU | I have everything I need,Info still needed,
Q7,2. The last unsold save,mcq,TRUE,Are you comparing this with other items you already saved?,Yes — I will buy one of them | Yes — but I may buy none | No,Alternatives,
Q8,3. Outside the app,multi,TRUE,Before you decide what do you do outside Myntra?,WhatsApp / send photos to friends or family | YouTube haul / try-on | Instagram | Google size charts or reviews | Visit a store to touch fabric or try a similar cut | Order two sizes and return one (or used to) | Nothing — I decide in the app | I just wait and never decide,Outside the app,
Q9,3. Outside the app,multi,TRUE,How do you reduce the risk of a wrong size today?,Only buy brands I have kept before | Read 50+ reviews on the product page | Ask a friend their size in that brand | Order two sizes | Wait for a sale so a failed return hurts less | Don’t buy — leave it wishlisted,How they cope,
Q10a,3. Outside the app,mcq,TRUE,Have you ever got a size explanation on the product page then opened the same item from wishlist later and found only the photo left?,Yes | No | Not sure,PDP advice does not travel,
Q11_fit,4. Strength,scale,TRUE,Fit / size uncertainty is why this saved item is not bought yet,1 Not at all — 5 Exactly why,Role of fit,
Q11_return,4. Strength,scale,TRUE,Return / seal-tag / exchange-only fear is why this saved item is not bought yet,1 Not at all — 5 Exactly why,Role of returns,
Q11_price,4. Strength,scale,TRUE,Price / waiting for a sale is why this saved item is not bought yet,1 Not at all — 5 Exactly why,Role of price (do not ship),
Q11_occasion,4. Strength,scale,TRUE,Not knowing when I’d wear it is why this saved item is not bought yet,1 Not at all — 5 Exactly why,Role of occasion,
Q11_social,4. Strength,scale,TRUE,I need someone else to validate it before I buy,1 Not at all — 5 Exactly why,Role of social validation,
Q12,4. Strength,mcq,TRUE,For you the Myntra wishlist is mostly…,A shopping list I intend to buy from | A mix | A moodboard / Pinterest,Intent vs bookmark,
D1,5. You,mcq,TRUE,Height band,"Under 5'2"" | 5'2""–5'5"" | 5'5""–5'8"" | Above 5'8""",Height,
D2,5. You,dropdown,TRUE,Usual size in tops / western wear,XS | S | M | L | XL | XXL | I don’t know,Top size,
D3,5. You,mcq,TRUE,Is your usual kurta / ethnic size the same as your top size?,Yes same letter | No — ethnic runs different | I don’t buy ethnic on Myntra,Ethnic vs western size,
D4,5. You,mcq,TRUE,What’s in that wishlist more?,Mostly workwear | Mix of workwear and occasion | Mostly occasion / ethnic | Mostly casual / trends,Assortment mix,
Q13,6. One sentence,long,FALSE,In one or two sentences: why is that saved item still not purchased?,(verbatim),Open freeze,
