Timestamp,C1,S1,S2,S3,S4,S5,S6,S7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q11_fit,Q11_return,Q11_price,Q11_occasion,Q11_social,Q12,D1,D2,D3,D4,Q13
8/9/2026 14:08:06,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,Yes,About weekly,I meant to buy it soon,Maybe,I don’t trust the size chart,"Which size to pick, Fit on my body / height","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), Return / seal-tag / exchange-only written as a sentence on the card, A friend telling me to buy it","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page",Yes,5,3,2,2,4,A mix,"5'2""–5'5""",M,No — ethnic runs different,Mostly workwear,"Theatre. People like me, not centimetres."
8/10/2026 5:36:42,"Yes, continue",Yes,Woman,24–32,Noida,15–40,Yes,About weekly,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height, Ethnic size vs my top size, labelled separately",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'2""–5'5""",M,No — ethnic runs different,Mostly workwear,
8/10/2026 9:55:17,"Yes, continue",Yes,Woman,24–32,Non-metro India,41–80,Yes,Rarely,I just liked it — not sure I’ll buy,No,My wishlist is a mess — I forget it,Nothing — I was just bookmarking,Nothing — I don’t intend to buy it,"How this sat on someone near my height, Return policy in words, not an icon",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Don’t buy — leave it wishlisted",Yes,3,3,2,2,4,A mix,"Under 5'2""",M,"Yes, same letter",Mix of workwear and occasion,96 items. I lose the one I actually meant to buy.
8/10/2026 10:42:47,"Yes, continue",Yes,Woman,33–40,Bengaluru,15–40,Yes,About weekly,For an occasion / event coming up,Maybe,I’m not sure when or where I’d wear it,Occasion / office-appropriateness,"A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Google size charts or reviews","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand",Yes,3,3,2,5,2,A mix,"5'2""–5'5""",XS,I don’t buy ethnic on Myntra,Mostly occasion / ethnic,Function is in three weeks. Dupatta length and seal tag — that’s the stall.
8/10/2026 14:01:58,"Yes, continue",Yes,Woman,24–32,Noida,15–40,Yes,About weekly,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page), Return / seal-tag / exchange-only written as a sentence on the card","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'2""–5'5""",M,"Yes, same letter",Mix of workwear and occasion,Straight kurta for work. Need to know if it hits below the knee on me.
8/10/2026 16:50:09,"Yes, continue",Yes,Woman,24–32,Delhi,41–80,Yes,About weekly,I just liked it — not sure I’ll buy,No,I was never really going to buy it,Nothing — I was just bookmarking,Nothing — I don’t intend to buy it,I have everything I need,No,YouTube haul / try-on,Don’t buy — leave it wishlisted,No,2,2,2,2,3,A moodboard / Pinterest,"5'2""–5'5""",XS,"Yes, same letter",Mostly workwear,
8/10/2026 18:52:02,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,Yes,About weekly,I meant to buy it soon,Yes,I don’t know if it will fit me / this brand’s cut,"Fit on my body / height, Which size to pick","A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Whether people who wear my usual size kept it, Length / crop / rise for my height",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Visit a store to touch fabric or try a similar cut","Only buy brands I have kept before, Read 50+ reviews on the product page, Ask a friend their size in that brand, Don’t buy — leave it wishlisted",Yes,5,3,2,2,2,A shopping list I intend to buy from,"5'2""–5'5""",S,"Yes, same letter",Mix of workwear and occasion,The size advice was on the product page. Wishlist is just a photo. I start over every time.
8/10/2026 22:20:28,"Yes, continue",Yes,Woman,24–32,Gurugram,15–40,Yes,Most days,Waiting for a sale or price drop,Yes,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, A kept-vs-returned story from people my size and height, on the wishlist card, A suggested size that stays with the saved item (not only on the product page)","How this sat on someone near my height, Return policy in words, not an icon",No,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",Yes,3,4,5,2,2,A shopping list I intend to buy from,"5'5""–5'8""",L,No — ethnic runs different,Mostly workwear,"Salary week I browse. I still don’t bag if fit is a coin flip, even on sale."
8/11/2026 3:52:18,"Yes, continue",Yes,Woman,24–32,Bengaluru,15–40,Yes,Most days,Waiting for a sale or price drop,Yes,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","How this sat on someone near my height, Return policy in words, not an icon",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Instagram","Only buy brands I have kept before, Read 50+ reviews on the product page, Wait for a sale so a failed return hurts less, Don’t buy — leave it wishlisted",Yes,3,4,5,2,2,A shopping list I intend to buy from,"5'5""–5'8""",S,"Yes, same letter",Mix of workwear and occasion,
8/11/2026 8:59:04,"Yes, continue",Yes,Woman,Under 24,Pune,1–14,Yes,Most days,Waiting for a sale or price drop,Yes,I’m waiting for a sale or discount,"Price, Whether I can return or exchange it","A coupon or sale, Return / seal-tag / exchange-only written as a sentence on the card, A kept-vs-returned story from people my size and height, on the wishlist card","How this sat on someone near my height, Return policy in words, not an icon",Yes — but I may buy none,"WhatsApp / send photos to friends or family, YouTube haul / try-on, Google size charts or reviews","Only buy brands I have kept before, Read 50+ reviews on the product page, Wait for a sale so a failed return hurts less",No,3,4,5,2,2,A shopping list I intend to buy from,"5'5""–5'8""",XS,No — ethnic runs different,Mix of workwear and occasion,
